,P.Value,deltaBeta,feature
cg05686445,6.44E-29,0.240443719,TSS1500
cg18384063,6.15E-29,0.294456169,Body
ch.9.1395144F,5.51E-29,-0.148815264,Body
cg04436994,5.09E-29,0.399909508,Body
ch.2.154083652F,4.69E-29,-0.1548633,IGR
cg17107017,4.63E-29,0.363468015,TSS1500
cg06339606,4.61E-29,-0.195622802,TSS1500
cg01877606,4.35E-29,-0.491303167,TSS200
cg06381455,4.23E-29,0.532925841,Body
cg17356718,3.79E-29,0.527145275,Body
cg04877910,3.45E-29,-0.527728784,TSS200
cg18693985,3.33E-29,0.570821926,Body
cg09636525,3.32E-29,0.446594764,Body
cg10007534,3.23E-29,0.313404251,Body
cg21653149,2.93E-29,0.579978188,Body
cg11274148,2.88E-29,0.115982578,Body
cg27326113,2.71E-29,0.554010256,Body
cg04424621,2.56E-29,-0.323103144,TSS1500
cg24173629,2.52E-29,0.410247729,Body
cg03889700,2.15E-29,0.555900622,5'UTR
cg05130485,2.10E-29,-0.606868256,5'UTR
cg08543028,2.08E-29,-0.546851488,IGR
cg14395844,2.05E-29,-0.152825109,Body
cg19366479,1.73E-29,0.371211075,Body
cg01450600,1.73E-29,0.529428493,Body
cg26243376,1.62E-29,-0.399689855,IGR
cg08169200,1.57E-29,0.258207545,Body
cg00989258,1.52E-29,0.292383756,5'UTR
cg25826226,1.38E-29,-0.034846642,5'UTR
cg09307985,1.20E-29,0.631213754,Body
cg13787933,9.44E-30,0.296372859,5'UTR
ch.9.84078312F,9.02E-30,-0.139170612,IGR
cg18537476,8.66E-30,0.292920267,IGR
cg16784745,7.87E-30,0.464780547,Body
cg14893576,7.50E-30,-0.496960318,IGR
cg05027533,7.19E-30,0.627235184,Body
cg04864807,7.18E-30,0.689681266,IGR
cg13283952,3.35E-30,0.586954238,IGR
ch.5.2522686R,3.09E-30,-0.115846346,Body
cg11872373,2.96E-30,0.424238301,3'UTR
cg04271791,2.95E-30,-0.101840114,Body
cg06958537,2.79E-30,-0.299921009,TSS1500
cg04437966,2.71E-30,-0.099423612,Body
cg14208234,2.14E-30,0.641131249,Body
cg03381704,1.83E-30,0.544972875,TSS200
cg08841544,1.77E-30,0.471836919,Body
cg21857098,1.75E-30,0.34115139,Body
cg25117362,1.66E-30,-0.330250385,5'UTR
cg14892517,1.52E-30,0.399963362,Body
cg00298065,1.32E-30,0.520694365,Body
cg06059810,1.30E-30,0.531161719,1stExon
cg24330456,1.27E-30,0.308926513,Body
cg09042577,1.00E-30,0.160138133,Body
cg18226700,9.21E-31,0.500150036,IGR
cg11393995,8.64E-31,-0.372268341,TSS1500
cg03724882,6.31E-31,-0.117628183,Body
cg20344434,5.08E-31,-0.049836007,TSS200
cg02633729,4.96E-31,0.607239019,Body
cg02307880,4.08E-31,0.435284682,Body
cg12611448,4.02E-31,-0.492335369,Body
ch.15.97746216F,3.81E-31,-0.141950246,IGR
cg21756806,3.55E-31,-0.124710699,TSS1500
cg02011476,3.39E-31,0.260264438,Body
cg05813673,3.04E-31,0.539065088,Body
cg27384070,2.97E-31,0.642767868,Body
cg11316510,2.18E-31,0.346259781,Body
cg11051022,2.12E-31,0.320339952,Body
cg24134959,1.89E-31,0.393962343,Body
ch.12.1993261F,1.84E-31,-0.07047364,Body
cg02596427,1.69E-31,0.295706103,Body
cg01954305,1.53E-31,0.538329534,IGR
cg20298668,1.30E-31,0.596236249,Body
cg00660272,1.26E-31,-0.31647506,5'UTR
cg04487296,1.21E-31,0.677757079,IGR
cg03184424,1.16E-31,0.49344546,Body
cg08658787,1.02E-31,0.548394869,IGR
cg22380693,1.02E-31,-0.037027353,TSS200
cg04854098,9.65E-32,0.461554403,Body
cg13745832,9.49E-32,0.512773802,3'UTR
cg25826360,8.52E-32,-0.385464638,5'UTR
ch.2.217478R,7.79E-32,-0.151135868,IGR
cg05149386,7.70E-32,-0.287066564,TSS1500
cg13424940,7.49E-32,0.491790117,Body
cg04941630,6.18E-32,-0.144325129,IGR
cg05057720,5.19E-32,0.671877756,1stExon
cg20961591,5.06E-32,-0.088241876,1stExon
cg01578632,4.17E-32,0.501326171,TSS1500
cg11356302,3.59E-32,0.298893531,Body
cg22603555,3.10E-32,0.526366793,Body
cg09317554,2.20E-32,0.438665862,Body
cg19837124,2.11E-32,0.37096194,Body
cg22955778,2.06E-32,-0.478440745,IGR
cg05495611,1.98E-32,0.289217533,Body
cg18710162,1.74E-32,-0.137748011,TSS200
cg00873678,1.56E-32,0.355523257,Body
cg20168901,1.55E-32,0.534795397,Body
cg10167849,1.49E-32,-0.519318896,5'UTR
cg17031967,1.38E-32,0.49934874,Body
cg03139228,1.34E-32,0.29687244,Body
cg09533178,8.98E-33,0.458201211,TSS1500
cg12690127,8.58E-33,-0.434576825,TSS200
cg00050496,8.23E-33,-0.476773731,TSS1500
cg25949502,8.16E-33,0.331474698,Body
cg05413258,7.95E-33,0.109608848,TSS200
cg20569588,7.31E-33,-0.185108157,TSS1500
cg00822277,7.11E-33,0.26440759,3'UTR
cg18003231,6.21E-33,0.452441503,5'UTR
cg05563515,5.66E-33,0.447486415,Body
cg25214966,5.27E-33,0.646888115,Body
cg13573746,4.52E-33,0.324774271,Body
cg05032848,4.40E-33,-0.151141532,TSS200
cg27547841,3.77E-33,0.201298033,Body
cg16516490,3.17E-33,0.46165905,TSS1500
cg21000762,3.13E-33,0.289632479,Body
cg07078467,3.10E-33,0.319923843,Body
cg14601053,2.96E-33,0.299425358,Body
cg19530831,2.84E-33,0.544955174,Body
cg21880765,2.67E-33,0.43373736,Body
cg03539041,2.46E-33,0.259454274,Body
cg10628699,2.39E-33,0.345412719,TSS1500
cg17723299,1.95E-33,-0.308875419,TSS1500
cg14378057,1.75E-33,0.4201949,TSS1500
cg04697299,1.57E-33,0.421806509,IGR
cg21985691,1.54E-33,0.453739301,Body
cg05892484,1.30E-33,0.287730641,Body
cg27625456,1.29E-33,-0.409865114,Body
cg04398285,1.25E-33,-0.313409647,IGR
cg14435109,1.17E-33,-0.468675309,TSS1500
cg07414392,1.15E-33,-0.342528673,TSS1500
cg26368737,1.09E-33,0.071367005,IGR
cg25568490,9.78E-34,0.320273689,Body
cg03176917,9.64E-34,-0.433966354,IGR
cg16842767,9.26E-34,-0.320388133,IGR
cg15026001,9.07E-34,0.402846482,Body
cg17298275,8.88E-34,0.557484078,Body
ch.2.200609314R,7.45E-34,-0.108730705,IGR
cg22478261,4.92E-34,-0.268677859,Body
cg23480341,4.55E-34,-0.263500336,TSS1500
cg15679095,4.29E-34,0.489224146,5'UTR
ch.5.682918R,4.16E-34,-0.065141745,IGR
cg26698460,3.73E-34,0.535286232,Body
cg08296903,3.26E-34,0.420444876,Body
cg27320005,2.53E-34,0.411660683,TSS200
cg03330762,1.96E-34,0.164981502,Body
cg04470557,1.64E-34,-0.418201441,Body
cg11514338,1.49E-34,0.339358054,Body
cg15986919,1.16E-34,-0.661743476,TSS1500
cg01942372,8.03E-35,0.510186081,TSS1500
cg27587033,6.81E-35,0.425941152,Body
cg14153654,6.63E-35,-0.442542038,TSS200
cg22954906,5.88E-35,0.352865024,TSS1500
cg18744668,5.75E-35,0.429916976,Body
cg17523415,5.64E-35,0.423134272,5'UTR
cg21484515,4.30E-35,0.272434058,TSS200
cg05711710,4.26E-35,0.431096507,IGR
cg18582260,3.65E-35,-0.723767526,5'UTR
cg23111655,3.48E-35,0.62769649,Body
cg00356723,2.98E-35,-0.146880305,TSS1500
cg04569190,2.19E-35,0.297047008,Body
cg05446253,2.03E-35,0.111661142,Body
ch.9.13245070R,1.65E-35,-0.154065722,IGR
cg22954978,1.13E-35,0.365178092,Body
cg07455975,8.47E-36,-0.164918347,5'UTR
cg07568313,6.16E-36,0.421577066,Body
cg22238122,4.97E-36,0.574875048,Body
cg25969122,4.91E-36,-0.400818796,IGR
cg13843266,4.15E-36,-0.244539978,TSS1500
cg04998671,4.15E-36,0.223500903,Body
cg03622664,4.13E-36,0.461163546,Body
cg08548498,3.56E-36,-0.560957419,TSS1500
cg01525498,2.87E-36,0.427889992,Body
cg19987900,2.72E-36,0.433681365,IGR
cg06077305,2.48E-36,0.12147386,Body
cg13719746,2.38E-36,-0.077292401,Body
cg21871883,1.98E-36,-0.380029229,Body
cg23082393,1.59E-36,0.509482737,Body
cg06341721,1.46E-36,-0.324423598,TSS1500
ch.7.114512964F,8.67E-37,-0.066377001,IGR
cg03287940,7.34E-37,-0.314494947,TSS1500
cg22454022,5.71E-37,-0.553150552,Body
cg05279137,5.54E-37,0.293594288,Body
cg10027723,4.98E-37,0.496330096,TSS1500
cg14536764,4.83E-37,0.338362409,Body
cg03663556,3.26E-37,-0.577501145,IGR
cg12258785,3.01E-37,-0.546124019,TSS1500
cg23900681,3.00E-37,0.419900612,Body
cg04212239,2.95E-37,-0.381636921,Body
cg25743481,2.81E-37,-0.067805933,1stExon
cg21076680,2.75E-37,-0.547050963,IGR
cg07563765,2.61E-37,0.192822489,Body
ch.10.1700276F,2.04E-37,-0.109530261,IGR
cg02935904,1.77E-37,-0.367827874,TSS1500
cg13184448,1.74E-37,0.568452691,Body
cg24324628,1.39E-37,0.583162689,Body
cg02196651,1.36E-37,-0.539918246,TSS200
cg08344351,1.31E-37,0.556002373,Body
cg06947694,8.42E-38,0.379080041,Body
cg11946165,7.45E-38,0.466156367,TSS1500
cg08625803,6.83E-38,0.360679433,3'UTR
cg00990613,2.77E-38,-0.213001928,TSS200
cg18064152,2.58E-38,-0.125439343,TSS200
cg04880751,1.86E-38,-0.348973018,TSS1500
cg12581598,1.85E-38,0.517586514,Body
cg15962969,1.45E-38,0.585007713,Body
cg06325515,9.62E-39,0.359883167,Body
cg25095814,7.94E-39,-0.439182317,TSS200
cg06791083,7.38E-39,0.313220576,Body
cg13042918,6.73E-39,0.454503821,Body
cg19136632,4.98E-39,-0.541948012,TSS1500
cg21870038,4.64E-39,-0.184093099,1stExon
cg04551619,3.74E-39,0.376123716,IGR
cg24972297,3.68E-39,-0.156723562,IGR
ch.9.77250961R,2.13E-39,-0.129481864,IGR
cg00084432,2.02E-39,0.282370562,TSS200
cg13888983,2.00E-39,0.21537911,Body
cg12279138,1.81E-39,-0.413036182,TSS1500
cg08443563,1.71E-39,-0.557322698,IGR
cg24975211,1.36E-39,0.421266708,3'UTR
cg13654884,1.18E-39,0.563252282,TSS1500
cg08003353,9.45E-40,-0.54713151,IGR
cg25204094,6.73E-40,-0.20871641,Body
cg05107535,5.94E-40,0.563816272,IGR
cg24582934,5.59E-40,-0.136836699,Body
ch.2.237314361R,4.52E-40,-0.071612802,IGR
cg06671340,4.03E-40,-0.260660489,TSS200
cg24808754,3.20E-40,0.395818,3'UTR
cg19170009,2.94E-40,0.541684047,Body
ch.5.5396883R,2.94E-40,-0.128760504,IGR
cg21151287,2.61E-40,0.212522408,Body
cg23526824,2.44E-40,0.351958287,Body
cg17032858,1.98E-40,0.391557562,Body
cg05945615,1.88E-40,-0.05364919,TSS1500
cg01383440,1.14E-40,0.255844277,3'UTR
ch.2.128865249F,8.68E-41,-0.224824114,IGR
cg09954195,6.39E-41,0.326568053,Body
cg11601932,3.61E-41,-0.272988997,IGR
cg01393234,3.43E-41,-0.581324376,IGR
cg00697703,1.98E-41,-0.312516329,5'UTR
ch.15.814613R,1.27E-41,-0.190280999,Body
cg07826642,8.59E-42,0.252097417,3'UTR
cg08951958,7.49E-42,0.417613685,Body
cg02883503,6.66E-42,0.481128494,Body
cg26966989,3.63E-42,0.345878272,Body
cg11926444,2.93E-42,0.284781623,3'UTR
cg20309677,1.75E-42,0.366198739,TSS1500
cg17758721,1.45E-42,-0.090178401,Body
cg13564459,7.79E-43,-0.239158032,Body
cg19449565,7.35E-43,0.661493809,Body
cg26889659,6.92E-43,0.541829986,5'UTR
cg08566455,2.67E-43,0.732284019,IGR
cg08786822,2.17E-43,0.260072525,Body
cg08501402,8.21E-44,0.412571636,IGR
cg13068653,6.51E-44,0.322274893,Body
cg23938483,5.38E-44,0.30189997,3'UTR
cg11609668,4.52E-44,0.329040561,3'UTR
cg11247674,2.09E-44,-0.177277834,TSS1500
cg11855693,9.69E-45,0.296196941,Body
cg19092164,8.72E-45,-0.424057314,IGR
cg23503691,7.77E-45,0.296787745,Body
cg14836636,6.44E-45,-0.059028816,Body
cg12939777,3.60E-45,0.365217347,Body
cg11586448,3.25E-45,-0.688621535,IGR
cg11314042,8.27E-46,-0.281976243,TSS1500
cg09562683,7.76E-46,0.426302416,5'UTR
cg18003970,6.56E-46,0.412614333,Body
cg18495781,2.05E-46,0.228172932,Body
ch.13.470465F,1.63E-46,-0.139600638,Body
cg22703724,1.55E-46,-0.240714258,TSS1500
cg10671066,8.25E-47,-0.425848764,Body
cg26144567,7.39E-47,0.479854747,3'UTR
cg10395252,5.44E-47,0.402168773,Body
cg06656553,4.88E-47,0.121996981,Body
cg17786902,1.36E-47,0.340036172,Body
cg15359249,1.29E-47,-0.347221819,IGR
cg17032848,3.18E-48,0.522390539,Body
cg27539060,1.66E-48,-0.271470899,Body
cg00093080,5.71E-49,0.323014477,Body
cg27080119,5.58E-49,-0.157961193,Body
cg13209613,1.54E-49,-0.274028096,Body
cg10627737,1.34E-49,0.457573308,Body
cg09652142,7.13E-50,0.492374817,Body
cg17842066,6.72E-50,-0.172491564,Body
cg12423473,2.04E-50,0.404801989,Body
cg14678084,1.53E-50,0.338365776,Body
cg03143486,1.10E-50,0.674586254,Body
cg15602548,2.97E-51,-0.466858493,Body
cg17746316,5.32E-52,0.558497286,Body
cg18733230,2.13E-52,0.511299356,Body
cg09835421,1.29E-52,0.297325306,Body
cg13249591,1.06E-52,-0.261608171,TSS200
ch.16.49831971R,2.51E-53,-0.278681351,IGR
cg16489193,1.92E-54,-0.153763921,TSS1500
cg22720790,1.58E-54,0.599295918,Body
cg03001832,6.97E-55,-0.06356032,TSS200
cg10703481,5.40E-55,0.391173786,5'UTR
cg24554061,2.11E-56,-0.091715649,TSS1500
cg07865607,2.02E-56,-0.684021253,TSS200
cg23665668,1.14E-56,0.224445862,Body
cg16085649,9.71E-57,0.647344357,Body
cg13153394,5.52E-57,-0.389848198,IGR
ch.19.1033996R,1.63E-57,-0.20683624,IGR
cg05845376,5.63E-58,0.595931382,TSS200
cg09515921,1.23E-58,0.480304184,Body
cg26353287,9.03E-59,0.318689635,IGR
cg03191794,8.72E-59,0.51429114,Body
cg16717740,7.49E-60,0.060991017,Body
cg13933174,7.28E-60,-0.1152904,IGR
ch.20.12652500F,4.39E-60,-0.168548373,IGR
ch.11.110310046R,1.88E-60,-0.218164722,IGR
cg05110241,1.52E-62,0.303605885,Body
cg10002185,9.89E-66,0.405516812,Body
cg13022534,3.21E-69,0.4803518,Body
cg26924967,1.37E-70,-0.562646212,TSS200
cg10532384,1.92E-79,0.262090271,Body
cg16367976,3.94E-82,-0.120763951,TSS1500
cg24685134,1.21E-82,-0.281736635,TSS1500
cg14532484,0.005590511,-0.369331439,3'UTR
cg07391831,0.005589896,0.41691568,Body
cg10536101,0.005589511,-0.150181151,TSS1500
cg08857221,0.00558873,-0.47044585,Body
cg08145798,0.005588348,-0.417974781,Body
cg11294750,0.000119565,-0.359672012,Body
cg18444544,0.000119454,-0.346905331,Body
cg17183905,0.000211524,-0.20245457,5'UTR
cg19907796,0.000211517,0.360826432,Body
cg24053664,0.000211446,0.376665983,TSS1500
cg04539515,0.000211415,0.340090925,IGR
